,weights,success_tries
201,[ 3.         -8.79857384 -5.8982748 ],159
202,[  7.         -20.27519678 -13.50702571],805
203,[  6.         -17.28504596 -11.43548654],562
204,[  4.         -11.53148416  -7.62385409],284
205,[  6.         -17.57060945 -11.77948864],624
206,[  5.         -14.3737031   -9.42858685],401
207,[  6.         -17.32161897 -11.30715482],614
208,[  5.         -14.40272945  -9.45262952],397
209,[  5.         -14.58846404  -9.76870428],447
210,[  7.         -20.25591938 -13.34821973],809
211,[  6.         -17.25790317 -11.44663685],622
212,[  6.         -17.2486646  -11.42004174],586
213,[  4.         -11.62948279  -7.72242525],282
214,[  6.         -17.38296482 -11.59370865],614
215,[  4.         -11.50937864  -7.50620247],252
216,[  8.         -23.07608456 -15.10717317],1088
217,[  6.         -17.52816395 -11.66698519],610
218,[  5.         -14.39199098  -9.5361535 ],419
219,[  5.         -14.50777759  -9.59104784],445
220,[  6.         -17.50690463 -11.72864171],612
221,[  5.         -14.41074814  -9.55635027],415
222,[  6.         -17.32980261 -11.38798544],584
223,[  5.         -14.43110723  -9.43956959],415
224,[  4.         -11.57453328  -7.67630692],278
225,[  8.         -23.21191873 -15.33201788],1110
226,[ 2.         -5.78517243 -3.78477697],64
227,[  6.         -17.4908254  -11.71755883],628
228,[  6.         -17.39875301 -11.57868534],594
229,[  4.         -11.57199554  -7.66330911],256
230,[  4.         -11.55044529  -7.54691308],282
231,[ 3.         -8.66364521 -5.68668758],141
232,[  4.         -11.5767643   -7.63667198],260
233,[  7.         -20.15301972 -13.30662871],817
234,[  5.         -14.44256159  -9.60289125],423
235,[  6.         -17.27875071 -11.28336112],602
236,[  6.         -17.28526372 -11.32309052],582
237,[ 2.         -5.75463322 -3.78353544],72
238,[  8.         -23.03434153 -15.26653498],1020
239,[  5.         -14.45416569  -9.6116041 ],411
240,[  5.         -14.58429299  -9.74145963],393
241,[  5.         -14.50858509  -9.57931042],417
242,[  4.         -11.56440133  -7.63999164],256
243,[  4.         -11.57760933  -7.60462487],276
244,[  5.         -14.5146626   -9.55669207],415
245,[ 3.         -8.69504764 -5.75552294],147
246,[  4.         -11.58218742  -7.63347738],276
247,[  6.         -17.25053993 -11.31275929],592
248,[  6.         -17.36863127 -11.41669594],584
249,[  5.         -14.43574412  -9.45310052],409
250,[  6.         -17.29759459 -11.42387895],622
251,[  5.         -14.3746089   -9.52060892],417
252,[  6.         -17.26270431 -11.29833525],602
253,[  5.         -14.4305339   -9.58618281],413
254,[  7.         -20.34679    -13.56112385],801
255,[  5.        -14.4458853  -9.5306787],445
256,[  6.         -17.38160009 -11.54143237],604
257,[  4.         -11.60933644  -7.66122818],258
258,[ 3.         -8.75659412 -5.82471071],151
259,[ 3.         -8.68153572 -5.75014371],163
260,[  7.         -20.16809046 -13.17582919],757
261,[  6.         -17.38540804 -11.5780016 ],596
262,[  4.         -11.58955321  -7.66848666],288
263,[  6.         -17.49327696 -11.60215227],604
264,[  6.         -17.40776572 -11.6147493 ],640
265,[  8.         -23.05573666 -15.15583252],1056
266,[  6.         -17.41064954 -11.5113352 ],596
267,[  5.         -14.37066642  -9.47143936],417
268,[  5.         -14.55634701  -9.67896749],421
269,[  7.         -20.20004    -13.35070264],797
270,[  6.         -17.35009281 -11.44933822],574
271,[  6.         -17.3439876  -11.41969929],586
272,[  5.         -14.45485794  -9.45565339],415
273,[  8.         -23.03465967 -15.08484455],1048
274,[ 3.         -8.71469805 -5.79389991],151
275,[  7.         -20.28852571 -13.37650108],809
276,[  8.         -23.00609348 -15.20063846],1070
277,[  4.         -11.5134903   -7.58830343],264
278,[  5.         -14.45791149  -9.54149459],451
279,[  5.         -14.38521029  -9.43568906],423
280,[  6.         -17.5093788  -11.66351132],608
281,[  4.         -11.57362353  -7.59776739],274
282,[  5.         -14.64783944  -9.8230044 ],413
283,[  5.         -14.61925443  -9.786304  ],439
284,[  6.         -17.37244385 -11.57612855],598
285,[  4.         -11.64357737  -7.73350559],298
286,[ 3.         -8.65788853 -5.64956608],161
287,[  5.         -14.47065551  -9.57987064],429
288,[  6.         -17.36491686 -11.49517482],628
289,[  8.         -23.08959315 -15.13148255],1050
290,[  4.         -11.5475997   -7.65002257],276
291,[  4.         -11.59249211  -7.72680197],272
292,[  6.         -17.47244286 -11.5629589 ],616
293,[  7.         -20.38425314 -13.62749946],795
294,[  5.         -14.43365076  -9.55588161],389
295,[ 2.         -5.83828259 -3.88385777],70
296,[ 2.         -5.83281929 -3.90164853],86
297,[  7.         -20.35921567 -13.57927199],811
298,[ 3.         -8.63431917 -5.66528706],151
299,[ 3.         -8.66778377 -5.72324571],153
300,[  6.         -17.51821431 -11.72469722],602
301,[  6.         -17.34109026 -11.36809453],598
302,[  5.         -14.50418657  -9.60372771],431
303,[  6.         -17.27721682 -11.42806197],602
304,[  6.         -17.3078268  -11.47891954],594
305,[  7.         -20.23352404 -13.40215003],807
306,[  7.         -20.16990903 -13.34680434],807
307,[  5.         -14.39024061  -9.38068382],427
308,[  6.         -17.27725235 -11.36205529],600
309,[ 3.         -8.62593221 -5.67047545],155
310,[  7.         -20.17784819 -13.21376879],799
311,[  5.         -14.42475531  -9.54336906],411
312,[  5.         -14.48217649  -9.5680693 ],423
313,[  5.         -14.39819902  -9.38512113],433
314,[  4.         -11.48383968  -7.60028443],280
315,[  6.         -17.34291247 -11.46334877],604
316,[  4.         -11.51422824  -7.51128592],256
317,[  6.         -17.39874236 -11.46831217],594
318,[  4.         -11.5938651   -7.63332674],262
319,[  6.         -17.25376009 -11.41557995],588
320,[  7.         -20.21856702 -13.27146057],783
321,[ 3.         -8.70811851 -5.79044315],143
322,[  5.         -14.46515438  -9.62863067],437
323,[  8.         -23.04866416 -15.17013268],1112
324,[  6.         -17.27832086 -11.26768913],590
325,[  7.         -20.13778061 -13.14836457],773
326,[  8.         -23.17435966 -15.37807884],1034
327,[ 3.         -8.66963019 -5.69143598],149
328,[  5.         -14.4712472   -9.59517851],427
329,[ 3.         -8.67305993 -5.77124976],157
330,[  6.         -17.47465126 -11.66118745],590
331,[  5.         -14.50586131  -9.583294  ],427
332,[  7.         -20.45647206 -13.65276309],817
333,[  4.         -11.51193784  -7.5409989 ],268
334,[  5.         -14.42214073  -9.56115074],401
335,[ 2.         -5.79603274 -3.85976219],68
336,[  7.         -20.29692776 -13.42591464],821
337,[  4.         -11.52863239  -7.65528285],278
338,[  5.         -14.48867902  -9.63910331],421
339,[  7.         -20.40991772 -13.58151092],835
340,[  4.         -11.5119191   -7.57900019],260
341,[  6.         -17.3604023  -11.39810849],598
342,[  5.         -14.495206    -9.54723733],419
343,[  5.         -14.59837286  -9.72169884],443
344,[  5.         -14.41939738  -9.49361085],411
345,[  4.         -11.70175285  -7.84157941],278
346,[  6.         -17.29656986 -11.47610661],574
347,[  6.         -17.48920386 -11.69085275],602
348,[  6.         -17.33394641 -11.38220395],614
349,[  5.         -14.42333641  -9.45740929],405
350,[  4.         -11.52592523  -7.57126463],272
351,[  7.         -20.13928422 -13.23426662],797
352,[  5.         -14.44757525  -9.55979386],403
353,[ 3.        -8.7040667 -5.7618549],149
354,[ 3.         -8.67259777 -5.66706215],165
355,[  6.         -17.44038963 -11.63214139],574
356,[  4.         -11.5560405   -7.68467053],278
357,[  7.         -20.33057145 -13.49854042],815
358,[  7.         -20.13682521 -13.3295464 ],761
359,[  7.         -20.22711733 -13.26613031],835
360,[  5.         -14.4604431   -9.58306888],437
361,[  6.         -17.54354579 -11.74279704],620
362,[  5.         -14.39800069  -9.54842684],415
363,[  8.         -23.16008547 -15.38466416],1044
364,[  6.         -17.36432043 -11.49940092],618
365,[  4.         -11.63540635  -7.7603081 ],266
366,[  4.         -11.56118359  -7.61344109],264
367,[  6.         -17.41591714 -11.57495719],628
368,[  6.         -17.24985967 -11.34094393],590
369,[  6.         -17.28774013 -11.40496273],624
370,[  5.         -14.52980309  -9.65953395],457
371,[  6.         -17.40266969 -11.50430903],642
372,[  4.         -11.51925822  -7.60649852],264
373,[  7.         -20.18644875 -13.34749307],855
374,[  5.         -14.51420243  -9.59816737],407
375,[  6.         -17.31327935 -11.47764443],592
376,[  4.         -11.59579861  -7.65028958],258
377,[  8.         -23.18279075 -15.32774568],1074
378,[  4.         -11.52921513  -7.5192514 ],278
379,[  6.         -17.4810212  -11.61003773],616
380,[  7.         -20.16105764 -13.37584707],783
381,[  7.         -20.32030101 -13.54438375],843
382,[  7.         -20.12170205 -13.33867561],761
383,[ 3.         -8.66702712 -5.69396638],147
384,[  4.         -11.56315027  -7.56132638],274
385,[  5.         -14.55379841  -9.69365168],431
386,[  4.         -11.58324362  -7.68884384],266
387,[  5.         -14.43651561  -9.44265872],427
388,[ 3.         -8.71278285 -5.76638929],155
389,[  6.         -17.36864221 -11.41904836],586
390,[  8.         -23.04090661 -15.02739327],992
391,[  4.         -11.53277248  -7.63622069],268
392,[  6.         -17.4614611  -11.55155825],608
393,[  6.         -17.42395156 -11.58109916],616
394,[  6.         -17.31413003 -11.3917278 ],596
395,[ 3.         -8.66983443 -5.69358511],145
396,[  8.         -23.2505079  -15.41195994],1038
397,[ 3.         -8.63319929 -5.65141905],151
398,[  4.         -11.52686422  -7.6445581 ],236
399,[  6.         -17.46037351 -11.63848383],586
400,[  7.         -20.37860684 -13.508817  ],815
401,[  6.         -17.30912519 -11.45166957],614
402,[  5.         -14.44388158  -9.58436051],429
403,[ 3.         -8.67418893 -5.74840224],145
404,[  6.         -17.46601895 -11.5703979 ],600
405,[  4.         -11.66780016  -7.80745566],280
406,[ 2.         -5.79614934 -3.80937677],74
407,[  5.         -14.36490795  -9.50871675],405
408,[  6.         -17.29307947 -11.36271192],580
409,[  5.         -14.64024959  -9.79929255],415
410,[  6.         -17.35251662 -11.50457855],614
411,[  4.         -11.52603286  -7.53663432],274
412,[  5.         -14.5691143   -9.70906701],429
413,[  7.        -20.2091761 -13.3997291],831
414,[  5.         -14.62387485  -9.79210261],467
415,[  5.         -14.37934796  -9.47124984],427
416,[  5.         -14.47920233  -9.54208247],419
417,[ 3.         -8.7562589  -5.82927293],151
418,[  7.         -20.27642445 -13.36103652],813
419,[ 3.         -8.63362301 -5.69936162],165
420,[  6.         -17.42202363 -11.5655294 ],590
421,[  8.         -23.07602749 -15.04939201],1024
422,[ 3.         -8.65175637 -5.68900774],149
423,[  7.         -20.19109829 -13.22340223],781
424,[  5.         -14.45954344  -9.52421796],405
425,[  4.         -11.61865854  -7.66549133],260
426,[  5.         -14.38322564  -9.54121218],415
427,[  4.         -11.5456813   -7.62823458],276
428,[  7.         -20.18531847 -13.34918329],803
429,[  6.         -17.43869788 -11.51043493],588
430,[ 2.         -5.75929809 -3.77733471],80
431,[  6.         -17.50643559 -11.67527529],592
432,[  6.         -17.24329224 -11.35594282],580
433,[  4.         -11.58192835  -7.62915355],282
434,[  5.         -14.39934127  -9.45013045],415
435,[  8.         -23.02530068 -15.24243411],1004
436,[  4.         -11.51060392  -7.58566825],266
437,[  4.         -11.54402792  -7.60086736],286
438,[  7.         -20.37742089 -13.55374897],817
439,[  6.         -17.31581679 -11.46403345],600
440,[  5.         -14.48043316  -9.63990963],407
441,[  7.         -20.32538285 -13.5345939 ],823
442,[  5.         -14.38439333  -9.52854607],435
443,[  5.         -14.39955911  -9.51334744],403
444,[  5.         -14.48551875  -9.62054936],459
445,[  4.         -11.70018368  -7.84022553],306
446,[  8.         -23.03535585 -15.06141723],1020
447,[  5.         -14.45244802  -9.58602082],405
448,[  6.         -17.31051931 -11.50536465],604
449,[  7.         -20.13736587 -13.14401539],787
450,[  4.         -11.63041453  -7.73992902],272
451,[  6.         -17.56005136 -11.78068463],608
452,[  4.         -11.50824109  -7.5274017 ],280
453,[  4.         -11.48881994  -7.58049253],276
454,[  7.         -20.23690135 -13.30697597],821
455,[  7.         -20.22527454 -13.21271612],785
456,[  5.         -14.43367616  -9.43374461],415
457,[ 3.         -8.66987851 -5.69574784],141
458,[  5.         -14.56413991  -9.69779176],423
459,[  6.         -17.37060547 -11.47806923],598
460,[  4.         -11.68471187  -7.8077504 ],274
461,[  6.         -17.27546439 -11.32482334],582
462,[  7.         -20.31078315 -13.425826  ],837
463,[  4.         -11.58957771  -7.66942306],256
464,[  4.         -11.68466821  -7.80611764],282
465,[  5.         -14.39258422  -9.41906663],439
466,[  6.         -17.55189326 -11.76769694],632
467,[  5.         -14.46183143  -9.6096391 ],417
468,[  5.         -14.38369288  -9.48449448],409
469,[  5.         -14.42292013  -9.55383681],413
470,[ 2.         -5.82022893 -3.85863237],88
471,[ 3.         -8.63235257 -5.70504947],159
472,[  5.         -14.61265309  -9.80750278],447
473,[  8.         -23.03621172 -15.13978614],1058
474,[  5.         -14.42072171  -9.56954551],413
475,[  5.         -14.44359555  -9.59162819],405
476,[ 3.         -8.70062357 -5.77112599],161
477,[ 3.         -8.65713984 -5.73202148],149
478,[ 3.         -8.66393827 -5.66878848],147
479,[  7.         -20.21321911 -13.23357664],807
480,[  7.         -20.28971569 -13.53687277],839
481,[  6.         -17.44914153 -11.58161426],632
482,[  8.         -23.06083844 -15.31622792],1112
483,[  6.         -17.41389148 -11.50949414],588
484,[  7.         -20.16701037 -13.29145613],765
485,[  9.         -25.91621915 -16.90478674],1325
486,[  5.         -14.49735955  -9.5470943 ],389
487,[  5.         -14.42155963  -9.48683097],413
488,[  5.         -14.39829247  -9.44031046],419
489,[  9.         -25.91443676 -17.10680967],1301
490,[  6.         -17.29490646 -11.42510601],620
491,[  6.         -17.37336661 -11.40805836],606
492,[  5.         -14.47304224  -9.63957415],417
493,[  5.         -14.46328716  -9.5049615 ],429
494,[  7.         -20.46618386 -13.74323502],787
495,[  5.         -14.46948994  -9.49178798],395
496,[  7.         -20.21522479 -13.31712075],777
497,[ 3.         -8.75935244 -5.83074507],155
498,[  6.         -17.29350758 -11.4616487 ],606
499,[  6.         -17.36850593 -11.4184905 ],608
500,[  6.         -17.27521374 -11.30528476],566
501,[  4.         -11.52098354  -7.58522913],268
502,[  4.         -11.65584194  -7.80791729],280
503,[  5.         -14.52849534  -9.67890983],423
504,[  5.         -14.43735073  -9.46067   ],433
505,[  7.         -20.19953904 -13.17549438],779
506,[  5.         -14.46184266  -9.48078257],423
507,[  7.         -20.40117393 -13.56625595],831
508,[  6.         -17.39709529 -11.44126299],602
509,[  6.         -17.29656236 -11.49147414],572
510,[  5.         -14.64326984  -9.83753539],425
511,[  6.         -17.34067945 -11.43960532],596
512,[  7.         -20.11764639 -13.31427736],797
513,[  5.         -14.36983261  -9.47241364],389
514,[  5.         -14.4093013   -9.53530421],425
515,[  7.         -20.19779062 -13.23297452],783
516,[ 3.         -8.63256821 -5.65137128],143
517,[  7.         -20.15777548 -13.14253719],807
518,[  6.         -17.42727447 -11.55431919],626
519,[  4.         -11.6787542   -7.82490265],294
520,[  6.         -17.23332653 -11.37066452],568
521,[  6.         -17.46230017 -11.55027875],612
522,[  5.         -14.47735513  -9.64305828],403
523,[  4.         -11.60771394  -7.63671331],264
524,[  6.         -17.42682597 -11.50640685],586
525,[ 3.         -8.68836106 -5.76498302],157
526,[  4.         -11.66499606  -7.78707071],272
527,[  4.         -11.58965141  -7.70997534],266
528,[  5.         -14.51878252  -9.57203606],411
529,[  5.         -14.43857309  -9.51307697],449
530,[  6.         -17.34867805 -11.51445641],610
531,[ 3.         -8.63126787 -5.70798113],157
532,[  5.         -14.40421744  -9.55618918],453
533,[  4.         -11.69856781  -7.83083069],252
534,[  4.         -11.51847557  -7.53529103],248
535,[ 3.         -8.65980428 -5.67682088],157
536,[  4.         -11.59835209  -7.62250971],268
537,[  4.         -11.59070705  -7.69786282],284
538,[  6.         -17.26204558 -11.28178965],600
539,[  5.         -14.43275103  -9.47077641],437
540,[  6.         -17.38724007 -11.46250981],600
541,[  5.         -14.38028048  -9.43997404],401
542,[  5.         -14.61806506  -9.74856029],409
543,[  6.         -17.24133992 -11.40277494],588
544,[  4.         -11.59329488  -7.65948171],296
545,[  4.         -11.66585306  -7.74911495],272
546,[  4.         -11.68079437  -7.7892361 ],300
547,[  4.         -11.5940038   -7.70879223],278
548,[  4.         -11.52875526  -7.57462715],266
549,[  4.         -11.54115617  -7.53786235],268
550,[  8.         -23.25389671 -15.46759261],1064
551,[  7.         -20.35534922 -13.53532344],799
552,[  6.         -17.28393872 -11.30489448],590
553,[  5.         -14.58231799  -9.75573035],419
554,[  4.         -11.48816703  -7.57980678],270
555,[  5.         -14.56054518  -9.71647484],423
556,[ 3.         -8.70143355 -5.74721933],143
557,[  6.         -17.57446604 -11.79095948],630
558,[  5.         -14.46044497  -9.60857694],429
559,[  5.         -14.61356022  -9.78108253],419
560,[  6.         -17.458083   -11.57933457],620
561,[ 1.         -2.92357338 -1.95783734],23
562,[  5.         -14.38418906  -9.49235183],419
563,[ 3.         -8.62445245 -5.70736659],155
564,[  4.         -11.5035937   -7.53451291],268
565,[  5.         -14.65110133  -9.81936535],441
566,[  6.         -17.47416706 -11.65314839],622
567,[  4.         -11.65242127  -7.74881968],274
568,[  4.         -11.55451729  -7.6709846 ],294
569,[  5.         -14.38420507  -9.46229363],397
570,[ 3.         -8.76289962 -5.86858062],165
571,[  4.         -11.49368626  -7.61336696],274
572,[  5.         -14.55930391  -9.65564852],405
573,[  4.         -11.57784969  -7.60765189],288
574,[  4.         -11.58359035  -7.71011768],262
575,[  4.         -11.53528431  -7.62300072],266
576,[  7.         -20.30894192 -13.36265112],771
577,[  7.         -20.19211588 -13.27706353],755
578,[  5.         -14.47620954  -9.62492507],431
579,[  7.         -20.1198803  -13.20102746],777
580,[  7.         -20.17732604 -13.15191169],805
581,[  4.         -11.66750424  -7.76748426],274
582,[  4.         -11.50210828  -7.585124  ],276
583,[  6.         -17.29843396 -11.33364235],604
584,[  5.         -14.45827047  -9.56001131],391
585,[  8.         -23.00135034 -15.08523177],1040
586,[  5.         -14.50477903  -9.60103025],437
587,[  5.         -14.35521334  -9.49232589],393
588,[  6.         -17.37256233 -11.57436824],586
589,[  4.         -11.55632791  -7.56674773],270
590,[  5.         -14.5473042   -9.69840937],439
591,[  4.         -11.60726266  -7.64886127],266
592,[  4.         -11.54726292  -7.65103385],268
593,[ 3.         -8.66048098 -5.74377743],167
594,[  5.         -14.49352631  -9.59112391],449
595,[  6.         -17.24537557 -11.42396873],626
596,[  6.         -17.26480805 -11.30426369],580
597,[ 3.         -8.66836517 -5.69429078],141
598,[  4.         -11.56688778  -7.63691326],286
599,[  5.         -14.46612912  -9.48866548],407
