,weights,success_tries
110,[-1.         -3.7032354   2.56706952],93
111,[-1.         -4.31554151  2.76147452],107
112,[-1.         -3.79728068  2.64807433],89
113,[-1.         -4.22369995  2.71333352],103
114,[-1.         -4.04891331  2.64432503],111
115,[-1.         -3.69075317  2.57653876],85
116,[-1.         -3.67478518  2.55478779],83
117,[-1.         -3.60676313  2.4736987 ],75
118,[-1.         -4.16957172  2.60044254],93
119,[-1.         -3.73735482  2.48817668],85
120,[-1.         -3.79507697  2.61521051],97
121,[-1.         -3.75552653  2.54279147],79
122,[-1.         -3.75273292  2.63473067],89
123,[-1.         -4.01702266  2.70223953],91
124,[-1.         -4.01702266  2.70223953],91
125,[-1.         -3.69075317  2.57653876],85
126,[-1.         -3.64910717  2.45417854],83
127,[-1.         -3.54811302  2.43356188],83
128,[-1.         -3.53214502  2.4118109 ],81
129,[-1.         -4.05471095  2.6913317 ],105
130,[-1.         -3.79507697  2.61521051],97
131,[-1.         -3.67811482  2.57284288],95
132,[-1.         -4.20773195  2.69158255],101
133,[-1.         -4.00363779  2.70601969],93
134,[-1.         -3.53214502  2.4118109 ],81
135,[-1.         -4.15892659  2.74708081],109
136,[-1.         -3.64910717  2.45417854],83
137,[-1.         -3.73735482  2.48817668],85
138,[-1.         -3.80537687  2.56926576],93
139,[-1.         -3.69075317  2.57653876],85
140,[-1.         -3.80537687  2.56926576],93
141,[-1.         -3.69075317  2.57653876],85
142,[-1.         -3.59670789  2.49553395],89
143,[-1.         -3.64910717  2.45417854],83
144,[-1.         -3.88702087  2.56295853],79
145,[-1.         -3.96199179  2.58365947],91
146,[-1.         -4.29957352  2.73972354],105
147,[-1.         -3.69075317  2.57653876],85
148,[-1.         -3.53214502  2.4118109 ],81
149,[-1.         -4.07493654  2.64424075],99
150,[-1.         -4.01702266  2.70223953],91
151,[-1.         -4.31774522  2.79433834],99
152,[-1.         -4.18494982  2.74699654],97
153,[-1.         -3.87015022  2.53551847],87
154,[-1.         -3.7032354   2.56706952],93
155,[-1.         -3.74315245  2.53518335],79
156,[-1.         -3.86099764  2.56304281],91
157,[-1.         -3.75199669  2.53659507],105
158,[-1.         -4.15892659  2.74708081],109
159,[-1.         -4.00363779  2.70601969],93
160,[-1.         -3.75552653  2.54279147],79
161,[-1.         -3.73735482  2.48817668],85
162,[-1.         -4.00164456  2.55568554],87
163,[-1.         -3.54811302  2.43356188],83
164,[-1.         -3.59670789  2.49553395],89
165,[-1.         -4.16957172  2.60044254],93
166,[-1.         -4.18494982  2.74699654],97
167,[-1.         -3.82408461  2.73387485],109
168,[-1.         -3.64551325  2.44003568],81
169,[-1.         -3.75552653  2.54279147],79
170,[-1.         -3.80537687  2.56926576],93
171,[-1.         -4.00164456  2.55568554],87
172,[-1.         -3.67811482  2.57284288],95
173,[-1.         -3.73735482  2.48817668],85
174,[-1.         -3.99099943  2.7023238 ],103
175,[-1.         -4.06488131  2.666076  ],113
176,[-1.         -3.99099943  2.7023238 ],103
177,[-1.         -4.07493654  2.64424075],99
178,[-1.         -3.73735482  2.48817668],85
179,[-1.         -3.80537687  2.56926576],93
180,[-1.         -3.8314001   2.56918149],81
181,[-1.         -4.20773195  2.69158255],101
182,[-1.         -4.29957352  2.73972354],105
183,[-1.         -3.8314001   2.56918149],81
184,[-1.         -3.73735482  2.48817668],85
185,[-1.         -3.54811302  2.43356188],83
186,[-1.         -4.16898182  2.72524557],95
187,[-1.         -3.73735482  2.48817668],85
188,[-1.         -4.29957352  2.73972354],105
189,[-1.         -4.09090454  2.66599173],101
190,[-1.         -4.29957352  2.73972354],105
191,[-1.         -3.73735482  2.48817668],85
192,[-1.         -4.09090454  2.66599173],101
193,[-1.         -4.16957172  2.60044254],93
194,[-1.         -3.87015022  2.53551847],87
195,[-1.         -4.09090454  2.66599173],101
196,[-1.         -4.00164456  2.55568554],87
197,[-1.         -3.90275179  2.66832567],101
198,[-1.         -4.00164456  2.55568554],87
199,[-1.         -4.07493654  2.64424075],99
200,[-1.         -3.54811302  2.43356188],83
201,[-1.         -4.15892659  2.74708081],109
202,[-1.         -3.69075317  2.57653876],85
203,[-1.         -3.80537687  2.56926576],93
204,[-1.         -4.22369995  2.71333352],103
205,[-1.         -4.09090454  2.66599173],101
206,[-1.         -3.54811302  2.43356188],83
207,[-1.         -4.0129568   2.58604884],95
208,[-1.         -3.99099943  2.7023238 ],103
209,[-1.         -3.64551325  2.44003568],81
210,[-1.         -3.84736809  2.59093246],83
211,[-1.         -3.5807399   2.47378297],87
212,[-1.         -3.73735482  2.48817668],85
213,[-1.         -3.86099764  2.56304281],91
214,[-1.         -3.99099943  2.7023238 ],103
215,[-1.         -3.84604197  2.61759989],101
216,[-1.         -4.31554151  2.76147452],107
217,[-1.         -3.69075317  2.57653876],85
218,[-1.         -4.14295859  2.72532984],107
219,[-1.         -3.80537687  2.56926576],93
220,[-1.         -3.73735482  2.48817668],85
221,[-1.         -3.86099764  2.56304281],91
222,[-1.         -3.73735482  2.48817668],85
223,[-1.         -4.31554151  2.76147452],107
224,[-1.         -3.69075317  2.57653876],85
225,[-1.         -3.73735482  2.48817668],85
226,[-1.         -4.0129568   2.58604884],95
227,[-1.         -3.5807399   2.47378297],87
228,[-1.         -4.16957172  2.60044254],93
229,[-1.         -3.69075317  2.57653876],85
230,[-1.         -4.00363779  2.70601969],93
231,[-1.         -3.80537687  2.56926576],93
232,[-1.         -3.97562133  2.55576981],99
233,[-1.         -3.80537687  2.56926576],93
234,[-1.         -4.29957352  2.73972354],105
235,[-1.         -4.31554151  2.76147452],107
236,[-1.         -3.54811302  2.43356188],83
237,[-1.         -3.79728068  2.64807433],89
238,[-1.         -3.80537687  2.56926576],93
239,[-1.         -3.7032354   2.56706952],93
240,[-1.         -3.80537687  2.56926576],93
241,[-1.         -3.98801502  2.58357519],79
242,[-1.         -4.05471095  2.6913317 ],105
243,[-1.         -3.75273292  2.63473067],89
244,[-1.         -4.29957352  2.73972354],105
245,[-1.         -3.64551325  2.44003568],81
246,[-1.         -4.20773195  2.69158255],101
247,[-1.         -3.64910717  2.45417854],83
248,[-1.         -3.96199179  2.58365947],91
249,[-1.         -3.84736809  2.59093246],83
250,[-1.         -3.75552653  2.54279147],79
251,[-1.         -4.20773195  2.69158255],101
252,[-1.         -3.84604197  2.61759989],101
253,[-1.         -4.11826149  2.69874669],101
254,[-1.         -3.73735482  2.48817668],85
255,[-1.         -3.6421583   2.51456669],79
256,[-1.         -3.71133159  2.48826095],97
257,[-1.         -4.04891331  2.64432503],111
258,[-1.         -4.09090454  2.66599173],101
259,[-1.         -3.75552653  2.54279147],79
260,[-1.         -3.54811302  2.43356188],83
261,[-1.         -3.82408461  2.73387485],109
262,[-1.         -4.31554151  2.76147452],107
263,[-1.         -3.79507697  2.61521051],97
264,[-1.         -4.36759556  2.82081263],113
265,[-1.         -3.90275179  2.66832567],101
266,[-1.         -4.20552824  2.65871873],109
267,[-1.         -4.01702266  2.70223953],91
268,[-1.         -3.64551325  2.44003568],81
269,[-1.         -4.00363779  2.70601969],93
270,[-1.         -3.75273292  2.63473067],89
271,[-1.         -3.64910717  2.45417854],83
272,[-1.         -3.98801502  2.58357519],79
273,[-1.         -3.84604197  2.61759989],101
274,[-1.         -4.06966661  2.63677462],95
275,[-1.         -4.0129568   2.58604884],95
276,[-1.         -3.87015022  2.53551847],87
277,[-1.         -3.88702087  2.56295853],79
278,[-1.         -4.07493654  2.64424075],99
279,[-1.         -3.67811482  2.57284288],95
280,[-1.         -3.97562133  2.55576981],99
281,[-1.         -3.73735482  2.48817668],85
282,[-1.         -4.29957352  2.73972354],105
283,[-1.         -3.73735482  2.48817668],85
284,[-1.         -4.00164456  2.55568554],87
285,[-1.         -3.80537687  2.56926576],93
286,[-1.         -4.16898182  2.72524557],95
287,[-1.         -3.73735482  2.48817668],85
288,[-1.         -4.20773195  2.69158255],101
289,[-1.         -3.54811302  2.43356188],83
290,[-1.         -3.73735482  2.48817668],85
291,[-1.         -3.96199179  2.58365947],91
292,[-1.         -3.86099764  2.56304281],91
293,[-1.         -3.64551325  2.44003568],81
294,[-1.         -3.73735482  2.48817668],85
295,[-1.         -4.18494982  2.74699654],97
296,[-1.         -4.31554151  2.76147452],107
297,[-1.         -3.69408281  2.59459385],97
298,[-1.         -3.96199179  2.58365947],91
299,[-1.         -3.84736809  2.59093246],83
300,[-1.         -3.79728068  2.64807433],89
301,[-1.         -3.75273292  2.63473067],89
302,[-1.         -3.75552653  2.54279147],79
303,[-1.         -4.31554151  2.76147452],107
304,[-1.         -3.79728068  2.64807433],89
305,[-1.         -3.80537687  2.56926576],93
306,[-1.         -4.11368667  2.61057774],105
307,[-1.         -3.75552653  2.54279147],79
308,[-1.         -3.73735482  2.48817668],85
309,[-1.         -3.71133159  2.48826095],97
310,[-1.         -3.96199179  2.58365947],91
311,[-1.         -3.67811482  2.57284288],95
312,[-1.         -4.16957172  2.60044254],93
313,[-1.         -4.18494982  2.74699654],97
314,[-1.         -3.69075317  2.57653876],85
315,[-1.         -3.73735482  2.48817668],85
316,[-1.         -3.75552653  2.54279147],79
317,[-1.         -3.80537687  2.56926576],93
318,[-1.         -4.18494982  2.74699654],97
319,[-1.         -3.69075317  2.57653876],85
320,[-1.         -3.73735482  2.48817668],85
321,[-1.         -4.04891331  2.64432503],111
322,[-1.         -3.69075317  2.57653876],85
323,[-1.         -3.69075317  2.57653876],85
324,[-1.         -3.64551325  2.44003568],81
325,[-1.         -3.86099764  2.56304281],91
326,[-1.         -3.79507697  2.61521051],97
327,[-1.         -4.18494982  2.74699654],97
328,[-1.         -3.75552653  2.54279147],79
329,[-1.         -3.54811302  2.43356188],83
330,[-1.         -3.75552653  2.54279147],79
331,[-1.         -3.79728068  2.64807433],89
332,[-1.         -3.64551325  2.44003568],81
333,[-1.         -3.99854563  2.92377413],93
334,[-1.         -3.75552653  2.54279147],79
335,[-1.         -4.04891331  2.64432503],111
336,[-1.         -3.69075317  2.57653876],85
337,[-1.         -4.14295859  2.72532984],107
338,[-1.         -4.18494982  2.74699654],97
339,[-1.         -3.73735482  2.48817668],85
340,[-1.         -3.84604197  2.61759989],101
341,[-1.         -3.69075317  2.57653876],85
342,[-1.         -3.99099943  2.7023238 ],103
343,[-1.         -3.75552653  2.54279147],79
344,[-1.         -3.75552653  2.54279147],79
345,[-1.         -3.73735482  2.48817668],85
346,[-1.         -4.14295859  2.72532984],107
347,[-1.         -4.31774522  2.79433834],99
348,[-1.         -3.75552653  2.54279147],79
349,[-1.         -3.75552653  2.54279147],79
350,[-1.         -3.83120837  2.7542141 ],85
351,[-1.         -4.22369995  2.71333352],103
352,[-1.         -3.7032354   2.56706952],93
353,[-1.         -3.98089126  2.56323594],103
354,[-1.         -3.88702087  2.56295853],79
355,[-1.         -3.74315245  2.53518335],79
356,[-1.         -3.96199179  2.58365947],91
357,[-1.         -3.64910717  2.45417854],83
358,[-1.         -3.73735482  2.48817668],85
359,[-1.         -3.73735482  2.48817668],85
360,[-1.         -3.75552653  2.54279147],79
361,[-1.         -3.79728068  2.64807433],89
362,[-1.         -3.98089126  2.56323594],103
363,[-1.         -3.90275179  2.66832567],101
364,[-1.         -3.86099764  2.56304281],91
365,[-1.         -3.75199669  2.53659507],105
366,[-1.         -4.09090454  2.66599173],101
367,[-1.         -3.7032354   2.56706952],93
368,[-1.         -4.03898003  2.58596457],83
369,[-1.         -4.20552824  2.65871873],109
370,[-1.         -4.16957172  2.60044254],93
371,[-1.         -4.29957352  2.73972354],105
372,[-1.         -3.69408281  2.59459385],97
373,[-1.         -3.80537687  2.56926576],93
374,[-1.         -3.80537687  2.56926576],93
375,[-1.         -4.20773195  2.69158255],101
376,[-1.         -4.01702266  2.70223953],91
377,[-1.         -3.96199179  2.58365947],91
378,[-1.         -4.18494982  2.74699654],97
379,[-1.         -3.96199179  2.58365947],91
380,[-1.         -4.16957172  2.60044254],93
381,[-1.         -4.36759556  2.82081263],113
382,[-1.         -4.20773195  2.69158255],101
383,[-1.         -3.64551325  2.44003568],81
384,[-1.         -4.20773195  2.69158255],101
385,[-1.         -4.22162577  2.65978066],99
386,[-1.         -3.87015022  2.53551847],87
387,[-1.         -3.73735482  2.48817668],85
388,[-1.         -3.99854563  2.92377413],93
389,[-1.         -4.31554151  2.76147452],107
390,[-1.         -4.18494982  2.74699654],97
391,[-1.         -3.79728068  2.64807433],89
392,[-1.         -3.73735482  2.48817668],85
393,[-1.         -4.07493654  2.64424075],99
394,[-1.         -3.73735482  2.48817668],85
395,[-1.         -3.54811302  2.43356188],83
396,[-1.         -4.29957352  2.73972354],105
397,[-1.         -3.84502964  2.54129183],89
398,[-1.         -4.30177723  2.77258736],97
399,[-1.         -4.31554151  2.76147452],107
400,[-1.         -4.29957352  2.73972354],105
401,[-1.         -3.99099943  2.7023238 ],103
402,[-1.         -3.73735482  2.48817668],85
403,[-1.         -3.8314001   2.56918149],81
404,[-1.         -4.09090454  2.66599173],101
405,[-1.         -4.11826149  2.69874669],101
406,[-1.         -3.73735482  2.48817668],85
407,[-1.         -3.83120837  2.7542141 ],85
408,[-1.         -3.75552653  2.54279147],79
409,[-1.         -4.09090454  2.66599173],101
410,[-1.         -3.74746299  2.62726454],85
411,[-1.         -4.31554151  2.76147452],107
412,[-1.         -3.5807399   2.47378297],87
413,[-1.         -4.00164456  2.55568554],87
414,[-1.         -3.75552653  2.54279147],79
415,[-1.         -4.09090454  2.66599173],101
416,[-1.         -3.81091022  2.62018467],97
417,[-1.         -4.16957172  2.60044254],93
418,[-1.         -4.04891331  2.64432503],111
419,[-1.         -3.75552653  2.54279147],79
420,[-1.         -4.16957172  2.60044254],93
421,[-1.         -3.75552653  2.54279147],79
422,[-1.         -3.5807399   2.47378297],87
423,[-1.         -3.99099943  2.7023238 ],103
424,[-1.         -3.89942215  2.65027058],89
425,[-1.         -3.79728068  2.64807433],89
426,[-1.         -3.59670789  2.49553395],89
427,[-1.         -3.84736809  2.59093246],83
428,[-1.         -4.22369995  2.71333352],103
429,[-1.         -3.98801502  2.58357519],79
430,[-1.         -3.69075317  2.57653876],85
431,[-1.         -4.20773195  2.69158255],101
432,[-1.         -4.06966661  2.63677462],95
433,[-1.         -3.86099764  2.56304281],91
434,[-1.         -3.87015022  2.53551847],87
435,[-1.         -3.69075317  2.57653876],85
436,[-1.         -3.75552653  2.54279147],79
437,[-1.         -3.75552653  2.54279147],79
438,[-1.         -3.79728068  2.64807433],89
439,[-1.         -3.5807399   2.47378297],87
440,[-1.         -4.16957172  2.60044254],93
441,[-1.         -3.64551325  2.44003568],81
442,[-1.         -3.86099764  2.56304281],91
443,[-1.         -4.09090454  2.66599173],101
444,[-1.         -4.00164456  2.55568554],87
445,[-1.         -3.89362451  2.6032639 ],95
446,[-1.         -4.31774522  2.79433834],99
447,[-1.         -4.16898182  2.72524557],95
448,[-1.         -4.06966661  2.63677462],95
449,[-1.         -4.0129568   2.58604884],95
450,[-1.         -4.31554151  2.76147452],107
451,[-1.         -4.20773195  2.69158255],101
452,[-1.         -4.16957172  2.60044254],93
453,[-1.         -3.79728068  2.64807433],89
454,[-1.         -4.20773195  2.69158255],101
455,[-1.         -3.99099943  2.7023238 ],103
456,[-1.         -3.64551325  2.44003568],81
457,[-1.         -3.88702087  2.56295853],79
458,[-1.         -4.36759556  2.82081263],113
459,[-1.         -3.83120837  2.7542141 ],85
460,[-1.         -3.64551325  2.44003568],81
461,[-1.         -3.80537687  2.56926576],93
462,[-1.         -4.31554151  2.76147452],107
463,[-1.         -4.06966661  2.63677462],95
464,[-1.         -4.20552824  2.65871873],109
465,[-1.         -3.75552653  2.54279147],79
466,[-1.         -4.31554151  2.76147452],107
467,[-1.         -3.64910717  2.45417854],83
468,[-1.         -4.20552824  2.65871873],109
469,[-1.         -4.00164456  2.55568554],87
470,[-1.         -3.75273292  2.63473067],89
471,[-1.         -3.73735482  2.48817668],85
472,[-1.         -3.54811302  2.43356188],83
473,[-1.         -3.75552653  2.54279147],79
474,[-1.         -3.7032354   2.56706952],93
475,[-1.         -4.31554151  2.76147452],107
476,[-1.         -3.88702087  2.56295853],79
477,[-1.         -3.73735482  2.48817668],85
478,[-1.         -3.79728068  2.64807433],89
479,[-1.         -3.64910717  2.45417854],83
480,[-1.         -3.73735482  2.48817668],85
481,[-1.         -4.14295859  2.72532984],107
482,[-1.         -4.29957352  2.73972354],105
483,[-1.         -3.99854563  2.92377413],93
484,[-1.         -4.16957172  2.60044254],93
485,[-1.         -3.75199669  2.53659507],105
486,[-1.         -4.11826149  2.69874669],101
487,[-1.         -3.69075317  2.57653876],85
488,[-1.         -4.16898182  2.72524557],95
489,[-1.         -3.95504292  2.64404762],87
490,[-1.         -4.20552824  2.65871873],109
491,[-1.         -4.14295859  2.72532984],107
492,[-1.         -4.29957352  2.73972354],105
493,[-1.         -3.64551325  2.44003568],81
494,[-1.         -4.00363779  2.70601969],93
495,[-1.         -4.31774522  2.79433834],99
496,[-1.         -3.79507697  2.61521051],97
497,[-1.         -4.31554151  2.76147452],107
498,[-1.         -4.20552824  2.65871873],109
499,[-1.         -3.73735482  2.48817668],85
500,[-1.         -3.67811482  2.57284288],95
501,[-1.         -4.14295859  2.72532984],107
502,[-1.         -3.86099764  2.56304281],91
503,[-1.         -4.31554151  2.76147452],107
504,[-1.         -3.99854563  2.92377413],93
505,[-1.         -4.05603707  2.66466428],87
506,[-1.         -3.73735482  2.48817668],85
507,[-1.         -3.69075317  2.57653876],85
508,[-1.         -3.97562133  2.55576981],99
509,[-1.         -3.84604197  2.61759989],101
510,[-1.         -3.84502964  2.54129183],89
511,[-1.         -3.98089126  2.56323594],103
512,[-1.         -3.7032354   2.56706952],93
513,[-1.         -4.07493654  2.64424075],99
514,[-1.         -4.20773195  2.69158255],101
515,[-1.         -4.20773195  2.69158255],101
516,[-1.         -4.07493654  2.64424075],99
517,[-1.         -4.31554151  2.76147452],107
518,[-1.         -4.14295859  2.72532984],107
519,[-1.         -4.06966661  2.63677462],95
520,[-1.         -3.87015022  2.53551847],87
521,[-1.         -4.09090454  2.66599173],101
522,[-1.         -3.80537687  2.56926576],93
523,[-1.         -3.64910717  2.45417854],83
524,[-1.         -4.29957352  2.73972354],105
525,[-1.         -4.14295859  2.72532984],107
526,[-1.         -3.75273292  2.63473067],89
527,[-1.         -4.22369995  2.71333352],103
528,[-1.         -4.18494982  2.74699654],97
529,[-1.         -4.09090454  2.66599173],101
530,[-1.         -3.79507697  2.61521051],97
531,[-1.         -3.53214502  2.4118109 ],81
532,[-1.         -3.73735482  2.48817668],85
533,[-1.         -3.83120837  2.7542141 ],85
534,[-1.         -3.73735482  2.48817668],85
535,[-1.         -3.99854563  2.92377413],93
536,[-1.         -3.99099943  2.7023238 ],103
537,[-1.         -4.29957352  2.73972354],105
538,[-1.         -4.20773195  2.69158255],101
539,[-1.         -3.79728068  2.64807433],89
540,[-1.         -4.06488131  2.666076  ],113
541,[-1.         -3.73735482  2.48817668],85
542,[-1.         -4.29957352  2.73972354],105
543,[-1.         -3.99099943  2.7023238 ],103
544,[-1.         -3.87015022  2.53551847],87
545,[-1.         -4.09090454  2.66599173],101
546,[-1.         -4.16957172  2.60044254],93
547,[-1.         -3.73735482  2.48817668],85
548,[-1.         -3.54811302  2.43356188],83
549,[-1.         -4.31554151  2.76147452],107
550,[-1.         -4.31554151  2.76147452],107
551,[-1.         -4.09090454  2.66599173],101
552,[-1.         -3.64551325  2.44003568],81
553,[-1.         -4.18494982  2.74699654],97
554,[-1.         -4.29957352  2.73972354],105
555,[-1.         -4.15892659  2.74708081],109
556,[-1.         -3.86099764  2.56304281],91
557,[-1.         -3.87015022  2.53551847],87
558,[-1.         -3.96066567  2.61032689],109
559,[-1.         -3.75273292  2.63473067],89
560,[-1.         -3.5807399   2.47378297],87
561,[-1.         -3.67811482  2.57284288],95
562,[-1.         -4.29957352  2.73972354],105
563,[-1.         -3.86099764  2.56304281],91
564,[-1.         -4.31554151  2.76147452],107
565,[-1.         -3.84502964  2.54129183],89
566,[-1.         -4.20552824  2.65871873],109
567,[-1.         -4.36759556  2.82081263],113
568,[-1.         -4.20552824  2.65871873],109
569,[-1.         -4.15892659  2.74708081],109
570,[-1.         -3.96199179  2.58365947],91
571,[-1.         -3.84736809  2.59093246],83
572,[-1.         -3.84604197  2.61759989],101
573,[-1.         -4.16957172  2.60044254],93
574,[-1.         -3.99099943  2.7023238 ],103
575,[-1.         -3.73735482  2.48817668],85
576,[-1.         -4.20773195  2.69158255],101
577,[-1.         -3.79728068  2.64807433],89
578,[-1.         -3.88702087  2.56295853],79
579,[-1.         -4.06966661  2.63677462],95
580,[-1.         -3.60482284  2.48428766],83
581,[-1.         -4.11368667  2.61057774],105
582,[-1.         -3.5807399   2.47378297],87
583,[-1.         -3.80537687  2.56926576],93
584,[-1.         -3.5807399   2.47378297],87
585,[-1.         -4.16957172  2.60044254],93
586,[-1.         -3.75273292  2.63473067],89
587,[-1.         -4.11368667  2.61057774],105
588,[-1.         -3.99854563  2.92377413],93
589,[-1.         -3.84736809  2.59093246],83
590,[-1.         -3.54811302  2.43356188],83
591,[-1.         -4.29957352  2.73972354],105
592,[-1.         -4.20773195  2.69158255],101
593,[-1.         -4.0129568   2.58604884],95
594,[-1.         -3.67811482  2.57284288],95
595,[-1.         -3.77830866  2.48737748],83
596,[-1.         -3.96199179  2.58365947],91
597,[-1.         -4.06966661  2.63677462],95
598,[-1.         -3.756782    2.50729369],87
599,[-1.         -3.75552653  2.54279147],79
600,[-1.         -4.31554151  2.76147452],107
601,[-1.         -4.31554151  2.76147452],107
602,[-1.         -3.99099943  2.7023238 ],103
603,[-1.         -3.7135353   2.52112477],89
604,[-1.         -4.20552824  2.65871873],109
605,[-1.         -3.99099943  2.7023238 ],103
606,[-1.         -4.16957172  2.60044254],93
607,[-1.         -3.75273292  2.63473067],89
608,[-1.         -3.83120837  2.7542141 ],85
609,[-1.         -3.756782    2.50729369],87
610,[-1.         -3.64551325  2.44003568],81
611,[-1.         -3.75552653  2.54279147],79
612,[-1.         -3.79728068  2.64807433],89
613,[-1.         -3.99854563  2.92377413],93
614,[-1.         -4.29957352  2.73972354],105
615,[-1.         -4.22162577  2.65978066],99
616,[-1.         -3.67811482  2.57284288],95
617,[-1.         -4.18494982  2.74699654],97
618,[-1.         -4.0129568   2.58604884],95
619,[-1.         -3.96199179  2.58365947],91
620,[-1.         -4.06966661  2.63677462],95
621,[-1.         -3.9641955   2.61652329],83
622,[-1.         -3.73735482  2.48817668],85
623,[-1.         -3.99099943  2.7023238 ],103
624,[-1.         -3.69075317  2.57653876],85
625,[-1.         -3.99854563  2.92377413],93
626,[-1.         -4.36759556  2.82081263],113
627,[-1.         -4.01702266  2.70223953],91
628,[-1.         -3.99854563  2.92377413],93
629,[-1.         -3.83120837  2.7542141 ],85
630,[-1.         -4.15892659  2.74708081],109
631,[-1.         -4.14295859  2.72532984],107
